Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7,8.5,6.4,19836,6213,13623
Total_Male,5.9,9.5,4.6,8213,3548,4665
Total_Female,8,7.5,8.1,11623,2665,8958
White,6.9,7.6,6.7,13748,3394,10354
White_Male,5.7,8.5,4.8,5459,1957,3502
White_Female,8.2,6.6,8.6,8289,1437,6852
Black,9.2,13.6,7.2,3213,1505,1708
Black_Male,8.7,14.9,5.4,1405,835,570
Black_Female,9.7,12.3,8.6,1808,670,1138
Hispanic,5.5,7.4,4.6,2199,991,1207
Hispanic_Male,4.7,7.7,3.2,960,532,428
Hispanic_Female,6.4,7,6.1,1239,460,779
Other,5.3,8.8,3.9,676,322,354
Other_Male,6.2,12.2,3.7,389,224,165
Other_Female,4.4,5.4,4.1,287,98,189
PuertoRican,14,20.6,11,555,256,299
PuertoRican_Male,9.2,16.8,5.4,180,110,70
PuertoRican_Female,18.7,24.8,16.2,374,146,228
Mexican,4,4.9,3.5,1046,458,588
Mexican_Male,3.6,5.4,2.6,479,253,225
Mexican_Female,4.5,4.4,4.5,568,204,363
